firm_name,firm_group,reporting_period,period,product_category,complaints_closed
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,25
AJ Bell Securities Limited,AJ BELL GROUP,2024-04-01 to 2024-09-30,H2 2024,Banking and credit cards,19
Aldermore Bank Plc,FIRSTRAND LIMITED,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,586
AMERICAN EXPRESS SERVICES EUROPE LIMITED,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,10728
Automobile Association Insurance Services Limited,AUTOMOBILE ASSOCIATION (AA),2024-02-01 to 2024-07-31,H2 2024,Banking and credit cards,0
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,2531
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,60234
Barclays Bank Plc,BARCLAYS PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,8337
Barclays Bank UK PLC,BARCLAYS PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,61470
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,25132
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,741
Chetwood Financial Limited,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Banking and credit cards,324
Citibank UK Limited,CITI GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,758
ClearBank Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,3398
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,2024-02-01 to 2024-07-31,H2 2024,Banking and credit cards,295
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,2024-04-01 to 2024-09-30,H2 2024,Banking and credit cards,32947
Coutts & Company,NATWEST GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,1562
Coventry Building Society,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,3249
Creation Consumer Finance Ltd,BNP PARIBAS GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,3877
Creation Financial Services Limited,BNP PARIBAS GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,601
Cynergy Bank Plc,CYNERGY CAPITAL LTD,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,693
Embark Investment Services Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,0
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,219
FCE Bank Plc,FORD MOTOR CO,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,150
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,0
Home Retail Group Card Services Limited,J SAINSBURY PLC,2024-03-01 to 2024-08-31,H2 2024,Banking and credit cards,4548
HSBC UK Bank Plc,HSBC HOLDINGS PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,92214
Ikano Bank AB (publ),NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,1321
