firm_name,firm_group,reporting_period,period,product_category,complaints_opened
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,27
AJ Bell Securities Limited,AJ BELL GROUP,2024-04-01 to 2024-09-30,H2 2024,Banking and credit cards,19
Aldermore Bank Plc,FIRSTRAND LIMITED,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,695
AMERICAN EXPRESS SERVICES EUROPE LIMITED,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,11203
Automobile Association Insurance Services Limited,AUTOMOBILE ASSOCIATION (AA),2024-02-01 to 2024-07-31,H2 2024,Banking and credit cards,0
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,2444
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,61366
Barclays Bank Plc,BARCLAYS PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,8336
Barclays Bank UK PLC,BARCLAYS PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,62061
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,23660
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,735
Chetwood Financial Limited,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Banking and credit cards,339
Citibank UK Limited,CITI GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,730
ClearBank Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,3540
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,2024-02-01 to 2024-07-31,H2 2024,Banking and credit cards,310
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,2024-04-01 to 2024-09-30,H2 2024,Banking and credit cards,35191
Countrywide Assured Plc,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,0
Coutts & Company,NATWEST GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,1570
Coventry Building Society,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,3246
Creation Consumer Finance Ltd,BNP PARIBAS GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,5621
Creation Financial Services Limited,BNP PARIBAS GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,519
Cynergy Bank Plc,CYNERGY CAPITAL LTD,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,900
Embark Investment Services Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,0
Extracover Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,0
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,219
FCE Bank Plc,FORD MOTOR CO,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,146
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,0
Home Retail Group Card Services Limited,J SAINSBURY PLC,2024-03-01 to 2024-08-31,H2 2024,Banking and credit cards,3944
HSBC UK Bank Plc,HSBC HOLDINGS PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,91184
Hyundai Capital UK Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,0
Ikano Bank AB (publ),NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,1357
J.P. Morgan Europe Limited,JPMORGAN CHASE & CO,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,12193
Kroo Bank Ltd,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,1246
Leeds Building Society,LEEDS BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,2049
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,0
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,73473
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,8226
MBNA Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,9072
Metro Bank PLC,METRO BANK PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,8682
Monzo Bank Ltd,MONZO BANK LIMITED,2024-04-01 to 2024-09-30,H2 2024,Banking and credit cards,50586
Moorcroft Debt Recovery Limited,NO GROUP,2024-02-01 to 2024-07-31,H2 2024,Banking and credit cards,578
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,NATWEST GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,81022
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,2024-04-05 to 2024-10-04,H2 2024,Banking and credit cards,58563
Newcastle Building Society,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,558
Northern Bank Limited,DANSKE BANK A/S,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,1472
OneSavings Bank Plc,ONESAVINGS BANK PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,1834
Paragon Bank Plc,PARAGON BANKING GROUP PLC,2024-04-01 to 2024-09-30,H2 2024,Banking and credit cards,826
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,879
Sainsbury's Bank Plc,J SAINSBURY PLC,2024-03-01 to 2024-08-31,H2 2024,Banking and credit cards,3199
Santander UK Plc,SANTANDER UK GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,59173
SCOTTISH WIDOWS LIMITED,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,0
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,0
Secure Trust Bank Plc,SECURE TRUST BANK PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,359
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,877
Skipton Building Society,SKIPTON BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,2918
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,1
Starling Bank Limited,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Banking and credit cards,22175
Tandem Bank Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,88
Tesco Personal Finance Limited,NO GROUP,2024-03-01 to 2024-08-31,H2 2024,Banking and credit cards,15374
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,10290
The Royal Bank of Scotland Plc,NATWEST GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,18053
Trading 212 UK Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,256
Triodos Bank UK Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,595
TSB Bank plc,BANCO DE SABADELL SA,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,30108
U.S. Bank Europe DAC,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,1859
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,26951
Virgin Money Unit Trust Managers Ltd,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Banking and credit cards,0
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,1776
Zempler Bank Limited,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Banking and credit cards,1805
Zopa Bank Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,3286
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,0
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,22
AJ Bell Securities Limited,AJ BELL GROUP,2024-10-01 to 2025-03-31,H1 2025,Banking and credit cards,51
Aldermore Bank Plc,FIRSTRAND LIMITED,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,962
AMERICAN EXPRESS SERVICES EUROPE LIMITED,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,13170
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,2208
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,65337
Barclays Bank Plc,BARCLAYS PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,9513
Barclays Bank UK PLC,BARCLAYS PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,147524
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,24847
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,741
ClearBank Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,3961
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,2024-08-01 to 2025-01-31,H1 2025,Banking and credit cards,162
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,2024-10-01 to 2025-03-31,H1 2025,Banking and credit cards,29819
Coutts & Company,NATWEST GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,1459
Coventry Building Society,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,3806
Creation Consumer Finance Ltd,BNP PARIBAS GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,9886
Creation Financial Services Limited,BNP PARIBAS GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,404
Cynergy Bank Plc,CYNERGY CAPITAL LTD,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,1047
Digital Moneybox Limited,NO GROUP,2024-12-01 to 2025-05-31,H1 2025,Banking and credit cards,535
Embark Investment Services Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,0
Embark Services Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,0
Family Assurance Friendly Society Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,0
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,631
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,0
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,0
Home Retail Group Card Services Limited,J SAINSBURY PLC,2024-09-01 to 2025-02-28,H1 2025,Banking and credit cards,4438
HSBC Bank Plc,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,465
HSBC UK Bank Plc,HSBC HOLDINGS PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,84351
Ikano Bank AB (publ),NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,1191
J.P. Morgan Europe Limited,JPMORGAN CHASE & CO,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,10803
Kroo Bank Ltd,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,893
Leeds Building Society,LEEDS BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,2336
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,0
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,78119
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,7097
MBNA Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,9487
Metro Bank PLC,METRO BANK PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,9473
Monzo Bank Ltd,MONZO BANK LIMITED,2024-10-01 to 2025-03-31,H1 2025,Banking and credit cards,34946
Moorcroft Debt Recovery Limited,NO GROUP,2024-08-01 to 2025-01-31,H1 2025,Banking and credit cards,468
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,NATWEST GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,87171
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,2024-10-05 to 2025-03-31,H1 2025,Banking and credit cards,61048
Newcastle Building Society,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,498
Northern Bank Limited,DANSKE BANK A/S,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,1379
OneSavings Bank Plc,ONESAVINGS BANK PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,1778
Paragon Bank Plc,PARAGON BANKING GROUP PLC,2024-10-01 to 2025-03-31,H1 2025,Banking and credit cards,640
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,807
Sainsbury's Bank Plc,J SAINSBURY PLC,2024-09-01 to 2025-02-28,H1 2025,Banking and credit cards,2808
Santander UK Plc,SANTANDER UK GROUP,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,57110
SCOTTISH WIDOWS LIMITED,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Banking and credit cards,0
