firm_name,firm_group,reporting_period,period,product_category,uphold_rate
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,88.0
AJ Bell Securities Limited,AJ BELL GROUP,2024-04-01 to 2024-09-30,H2 2024,Banking and credit cards,36.8
Aldermore Bank Plc,FIRSTRAND LIMITED,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,67.6
AMERICAN EXPRESS SERVICES EUROPE LIMITED,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,32.7
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,45.8
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,67.6
Barclays Bank Plc,BARCLAYS PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,60.9
Barclays Bank UK PLC,BARCLAYS PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,65.9
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,31.2
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,42.9
Chetwood Financial Limited,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Banking and credit cards,20.4
Citibank UK Limited,CITI GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,11.4
ClearBank Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,58.2
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,2024-02-01 to 2024-07-31,H2 2024,Banking and credit cards,61.4
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,2024-04-01 to 2024-09-30,H2 2024,Banking and credit cards,72.5
Coutts & Company,NATWEST GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,47.1
Coventry Building Society,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,63.9
Creation Consumer Finance Ltd,BNP PARIBAS GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,33.4
Creation Financial Services Limited,BNP PARIBAS GROUP,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,40.3
Cynergy Bank Plc,CYNERGY CAPITAL LTD,2024-07-01 to 2024-12-31,H2 2024,Banking and credit cards,80.5
